mbid	thedomid	thename	location	explanation
6f7a02e8aac2	TP7P2289	Cree_Nation	19-56	NULL
eaf5366c8f7c	TP9P3851	Cretan_Deer	32-32	NULL
a9f4c06289bf	TP9P3849	Cretan_Giant_Owl	14-58	NULL
9453ccab4f94	AP6H7527	Creutzgatan	03-62	NULL
3dc4cd211c68	TP6P1389	Cribbage	78-52	A card Game
6870d28ed862	TP7P2503	Cricket	51-14	NULL
16cf4277e9c6	UP6P1666	Cries_And_Whispers	53-27	Oscar winning Swedish film
1748860cd56a	UP7P2378	Crime_Dog	24-51	NULL
d693f9382554	UP5P0812	Criminology	59-57	-
4649e53cf6f0	TP8P3119	Crimper	13-48	NULL
458ed30afc3c	UP6P1702	Crinoid	69-43	NULL
994f40182529	UP6P1762	Croatia_Airlines	54-45	Croatia national airline
f359b616c6c2	TP8P3439	Croce	27-36	NULL
213068cb875f	UP8P3162	Crocus_Paper	05-17	NULL
9a0c4f832039	UP8P3350	Crooked_Stick	36-01	NULL
5d6160b92668	TP6P1289	Cropsy	58-42	The Burning tells the story of a mean, drunken caretaker at a summer camp (nicknamed Cropsy, after the huge garden shears he carries) who falls victim to a particularly nasty prank which leaves him horribly burned and disfigured. Following his release from hospital, he returns to his old stamping ground and begins a murder spree.
6e3f8b69462a	TP5Y0215	Crosley_Curtis	67-30	-
af75609627a5	UP7P2414	Crosley_Radio	41-23	NULL
25bfe1f176da	TP8P3191	Crotales	05-56	NULL
99e78f577c5f	SCUBE014	Dulalam	2023-14	NULL
4d14fda0db07	TP8Y5089	Crowdie	33-20	NULL
e37203ef5b66	TP7P2341	Crow_Nation	62-26	NULL
36e33b143b41	UP7Y4954	Crres	13-23	NULL
4bffea79ef44	UP8P3304	Cruden_Bay	26-49	NULL
cc1d04faa955	UP7P2180	Cruella_De_Vil	44-13	NULL
9547839e08cf	DFLSyn01	CryDOM	-	NULL
54501bb54517	TP6P1777	Cryptic_Teardrop_Crab	69-36	NULL
a997c4bd189f	UP5P0808	Cryptology	49-29	-
02f67a010560	UP5P1052	Cryptosporidiosis	73-25	-
195754800df5	UP5P0758	Cryptozoology	49-47	-
87815acbcaa3	TP8P3607	Crystal	80-56	NULL
bcba29ac86b0	UP6P1770	Cubana_Air	74-47	Cuba national airline
9e909a587ba5	TP7Y4689	Cuboideum	18-26	NULL
6f5f9b170405	TP4P0097	Cucumber	-	-
72da50585120	TP6Y4283	Cumhau	47-16	NULL
e161990377dd	TP7Y4813	Cuora_Pani	18-08	NULL
dde569498bb5	UP6P1690	Cup_Coral	76-23	NULL
794fcdbd1822	UP7P2474	Curling	80-15	NULL
4b64a8814932	TP7P2243	Curumo	44-24	NULL
ae611d13ba09	TP6P1779	Cushion_Star	70-38	NULL
8dba3f663a4b	UP6P1704	Cuttlefish	70-33	NULL
9aa72ae58351	TL8P6557	Cuyahoga_Valley	36-58	NULL
c01a534234dd	UP7Y4920	Cxo	34-53	NULL
4806a7cf1228	TP6P1601	Cyan	69-12	-
5898d6a825cf	UP5P0606	Cyberphobia	76-21	-
7c2adfad5017	UP7P2472	Cycling	20-45	NULL
454611892eea	UP5P0534	Cyclone	29-49	-
815e88613ae5	UP7P2512	Cyclops	10-45	NULL
57bba7d1843d	TP7Y4779	Cyclura_Ricordi	06-38	NULL
3f09caab0607	UL9P6632	Cygnoids	84-47	NULL
d660132d722e	TP7H8253	Cykelbud	15-54	NULL
0459432cb062	TP6H7667	Cylinder	45-60	NULL
282fc077162f	UP8P3236	Cymbal	19-35	NULL
ed257dc7af07	SCUBE015	Kao	2023-15	NULL
ed01f9bbaea8	TP8P3295	Cypress_Point	02-50	NULL
d833500d655c	UL9P6666	Cypress_Tree	86-53	NULL
f1ded618bb03	TP6P1791	Cyprus_Airways	61-50	Cyprus national airline
75c0f16d22fc	UP6P1776	Czech_Airlines	74-27	Czech Republic national airline
517524fedb3d	TP8P3169	C_Clamp	17-20	NULL
e8fd68861537	UP4Y0046	DAB	46-07	-
db084721e453	UP8Y5158	Dachsteiner	23-27	NULL
5cbb63c19637	TP5Y0217	Dacia_Logan	38-30	-
aacca506e50e	UP8Y5052	Daechucha	80-51	NULL
16be296642fb	TP5Y0219	Daewoo_Nubira	27-20	-
c41d94d751a2	TP7P2691	Dafna	24-38	NULL
6dceba4ce9a5	UP7H8068	Dag	12-15	NULL
1c2f71a5b528	UL9H6102	Daggros	85-37	NULL
da1c453c5155	UP5P0920	Daikaku_Inumura	64-43	-
1158e198c075	UP9P3782	Daily_Prophet	01-11	NULL
4de8420ce363	TP5Y0221	Daimler_Dart	30-48	-
bd8cafb6957e	TP6P1229	Daisy	48-38	-
7b0f0cee0e62	UP7P2162	Daisy_Duck	06-09	NULL
1250d9380a95	UP6H7530	Dalagatan	52-47	NULL
90dc60b31263	TL9H6141	Daler	84-40	NULL
527328e4b2ff	UP7P2610	Dalia	24-39	NULL
1dfe86ab70d0	TP8P3101	Dalls_Porpoise	05-22	NULL
13c51a83e844	UP5H0146	Dalripa	01-29	-
0fa7a4e98b73	TP6H7531	Dalslandgatan	17-58	NULL
e4de2413634a	AP6P1164	Damascus	76-63	NULL
f08b10d5d854	TP7Y4695	Damghan	18-06	NULL
a26d576b00b5	UP6H7668	Dammsugare	18-27	NULL
3ea5d6bbf971	TP8Y5111	Danbo	51-28	NULL
96c58118f718	UP7P2470	Dancing	20-05	NULL
d349582c0d72	UP4H0044	Danderyd	61-03	-
fd0439985baf	UP6H7532	Danderydsgatan	25-39	NULL
473da4683b46	TL9P6719	Daniel_Wahl	82-26	NULL
f1b223a98619	TP6H7533	Dannemoragatan	52-58	-
f4155efdb661	TP7H8231	Dansare	08-30	NULL
349c9e233928	TP6Y4411	Danu	65-24	Indian Gods and legendary heroes
8aa8f572c95d	UP7Y4894	Danube_Pilot	34-41	NULL
7f268fc28b6a	UP7P2220	Dan_Wharton	45-31	NULL
3952520fec48	UP6Y4478	Dao	73-15	Chinese gods and mythical heroes
e0aaaa68b05e	TP7P2549	Daredevil	10-36	NULL
3b5770dd58f1	UP6H7670	Daren_Blythe	45-03	NULL
fa493f68cdc0	UP7Y4684	Dargaz	03-31	NULL
76c5c3d5a342	TP7P2249	Dargolad	09-08	NULL
9c8f6161ceca	UP8Y5038	Darjeeling	08-11	NULL
207341edbd6e	TP6P1617	Dark_Blue	75-10	color
fd62fa6c5045	TP6P1239	Dark_Horse	72-02	-
befa7d6788c5	UP6P1270	Dark_Water	48-45	A 2005 American horror film directed by Walter Salles and starring Jennifer Connelly
d8254accc242	UP4Y0048	Darmstaedter	18-49	-
173dd51fbf6b	TP6H7641	Darrell_Hamilton	45-42	NULL
9662aea5669e	TP5Y0223	Darrin_Packard	50-48	-
c820c0d060b2	TP7Y4649	Darya	12-36	NULL
dc9a8b792fa5	UP7Y4714	Daryan	09-15	NULL
7efef52eaa17	UP7P2366	Dar_Gibson	45-11	NULL
74c887b35099	UP6Y4434	Dasaratha	74-45	Indian Gods and legendary heroes
95afeeb49569	TL9H6133	Datamusen	84-52	NULL
bc25f1cd8b13	UL9P6688	Date_Tree	86-31	NULL
b3a52baf8b49	TP6H7669	Dator	68-56	NULL
96f2901dc9a8	TP5Y0225	Datsun_240Z	59-42	-
1ac0e82692a5	UP6H7534	David_Bagares_Gata	37-33	NULL
3c31a62446ce	TP7P2271	David_Pernic	45-56	NULL
77aa590e9e78	TL9P6725	David_Wahl	82-30	NULL
7867429461b9	UP8P3538	Dawes	02-49	NULL
e63760ef5a51	TP7Y4901	Dawn	43-22	NULL
f0f7d2d6c434	TP6P1731	Days_Of_Heaven	75-46	Richard Gere on a farm
e7f4ae6d7b39	UP8Y5096	Da_Fang	33-33	NULL
bba32f1b146d	TP8P3505	DC3_Bassler	16-26	NULL
ffce4453a7f5	TP6Y4273	Dchi	56-20	Chinese gods and mythical heroes
0421e3ff5ee1	TP6P1243	Dead_Of_Night	48-52	1845 film
3681e9662126	AP6P1112	Dead_Stop	78-64	A Stop that is dead
2cb38ee0f51e	UP7P2376	Death_to_Flying_Things	62-23	NULL
3e4d4d89ed16	TL8P6543	Death_Valley	86-02	NULL
642407a26869	UL9P6614	Decapodian	82-53	NULL
99858e4689cf	TP7P2699	December	11-06	NULL
53fd9cf5ee98	UP5P0660	Decidophobia	67-27	-
2773c4c4acc1	TP7Y4875	Deep_Range	06-18	NULL
b61983e429a6	UP4P0298	Deer	54-35	-
1055fbeabe2c	UP6P1662	Deer_Hunter	64-35	Vietnam War film
aa4ec3be6225	TP8P3589	Deer_Valley	07-18	NULL
f36df3b14c18	TP6P1591	Defender	61-34	Video Games
de7104c0bb82	TP7P2413	DeForest_Radio	16-20	NULL
6e5e7df2b968	UP8Y5176	Dehmsee	08-55	NULL
adbabca9da53	UP7H8008	Dejsa	36-11	NULL
92697d6bbac5	TP8H8525	Dekantera	80-44	NULL
7a06273239a8	UP5P0976	Delaware	49-03	-
66d32a665765	TP8P3415	Deledda	02-34	NULL
4c27e2761a61	TP7H8129	Delfinen	42-10	NULL
ca0e27e5e7fb	TP7H8069	Delling	15-06	NULL
cca7531ba832	UP5Y0068	Delorean_GTish	60-45	NULL
7575cc500f57	AP6P1179	Delphi	44-62	NULL
8e0d751087b9	UP7Y4932	Demeter	33-43	NULL
d8299fca81bd	TP8Y5167	Demminsee	43-04	NULL
475580f34219	UP5P0810	Demonology	71-49	-
d12f4ec14cfb	UP9P3840	Demon_Duck_of_Doom	32-23	NULL
753429b1f63d	UP5P0668	Demophobia	29-01	-
a9f5047c298e	TP7Y4645	Demyan	20-58	NULL
c0fa84c77d7d	UP8P3546	Denali	35-35	NULL
f97c4b42fc5f	UP5P0906	Dendrophilia	54-51	-
77cd7fd7e91f	TP7H8187	Denebola	34-48	NULL
174be3cde9d4	UP5P1040	Dengue_Fever	78-05	-
b747f193cfe7	UP7P2372	Dennis_Duling	45-09	NULL
39bba205dc1e	TP9P3879	Dense_Mist	16-12	NULL
1183ea03ee2b	UP5P0646	Dentophobia	66-49	-
642f553715f4	TP8P3145	Dent_Puller	23-58	NULL
42668f1a5b69	TP5P0873	Denver	66-50	-
271e665287b1	TP7P2801	DEN_Baggage_System	04-50	NULL
a90258f2aa7c	UP5P0816	Dermatology	74-07	-
c4efcc141b73	TP8P3533	DeRosa	27-16	NULL
34e118d24b49	TP9P3777	Dervish_And_Banges	01-32	NULL
ad401407a8e5	TP6P1457	Deshka_River	60-20	one of Southcentral Alaskas premier sport fishing streams
77fe76c84097	TL9H6103	Desmeknopp	85-34	NULL
2fad6ab546b8	UP6P1380	Desmoche	56-03	A card Game
646c718ca2dc	UP5Y0070	DeSoto_Sportsman	38-39	-
59e83d35b0d8	TP5P0625	Des_Moines	40-10	-
51c49214449f	UP7P2416	Detrola_Radio	16-27	NULL
61d3066a81ee	TP6Y4347	Devaki	73-24	Indian Gods and legendary heroes
c74fa601db5a	TL8P6569	Devils_Lake	83-54	NULL
92e26ddddda9	TP7P2195	Dewey	17-42	NULL
dd7239d53b20	UP7P2648	Dey	04-37	NULL
b63096cf6bed	UP7Y4690	Deylam	18-31	NULL
2f662cbda2e7	TP7Y4705	Dezfoul	18-54	NULL
dfb334a93683	TP7P2795	de_Gaulle_Terminal_2E	04-06	NULL
1cc45fe10c3c	TP6H7535	De_Geersgatan	26-50	NULL
a5dc66580e95	AP7P2090	De_la_Roche	10-63	NULL
8497d12e3360	AP7P2007	Dhaulagiri	43-63	NULL
64307c526bfa	TP6Y4409	Dhoute	57-08	Gods of Ancient Egypt
fc97b26e1d41	UP6Y4440	Dhritaraschtras	74-55	Indian Gods and legendary heroes
51693421984e	UP5P0506	Diablo	54-41	-
763770085473	UP7Y4528	Diagnostix	12-07	NULL
53f98da44b15	UP9P3776	Diagon_Alley	01-25	NULL
26c8d1767fce	UP5Y0072	Diamond_Rio	59-33	-
6034b2763d8b	TP7Y4741	Diaphyse	34-12	NULL
d4d0544123d2	TP7Y4721	Diathrosen	28-10	NULL
b73c3573321c	TP7Y4697	Dibaj	28-20	NULL
c504bd71b5d2	TP7P2527	Dibbegugger	34-26	NULL
9e49194fadc5	UP7Y4800	Diceros_Bicornis	16-11	NULL
634e0cd60304	TP4P0185	Diethyl_ether	21-40	-
3af36be13c91	UP7H8214	Dietist	31-43	NULL
4111575d3a96	TP6P1555	Dig_Dug	53-28	an arcade game where you must eliminate underground dwelling monsters by inflating them
06333b5a7061	UP5P0692	Dikephobia	39-59	-
874f6acd472e	TP7H8009	Dikt	01-56	NULL
da90f92aea93	TP7H8265	Dila	33-18	NULL
d5b6db9c58d7	TL9H6079	Dill	86-28	NULL
9a1136171c74	UP4P0220	Dimethylamine	21-35	-
8d0872b30a8a	UP4P0236	Dimethylsulfoxide	21-31	-
1b12d6fcfd80	UP8Y5154	Dimsi	32-43	NULL
21f50e98fa49	UP7H8266	Dinka	23-15	NULL
ba3dbfcffc51	UP5P0630	Dinophobia	39-03	-
2fdfd7afbfc4	UP6Y4474	Din_Hau	78-19	Chinese gods and mythical heroes
f17497d8596f	TP5P0977	Diphtheria	78-26	-
03cf16446f4c	UP9P3808	Diprotodon	32-37	NULL
bbfa8b321d0d	UP5P0574	Dipsophobia	74-11	-
f60c686f4b2e	TP7Y4777	Dipturus_Batis	34-16	NULL
8df5c5cc79ee	UP9P3826	Dire_Wolf	80-17	NULL
529493636343	UP7H8010	Dirk	25-57	NULL
7cd341f8827e	TP6P1741	Dirty_Dozen	60-22	WWII movie
e716a53e8cf1	TP6P1705	Dirty_Harry	53-26	Clint Eastwood plays a renegade cop
bcce60d9da50	UP5P0930	Discophiliaish	78-11	-
76d34560dcc8	TP7Y4663	Discus	36-12	NULL
9eee9048e8b5	TP7P2473	Discus_Throw	20-12	NULL
48e492170268	UP7Y4880	Discworld	06-11	NULL
d6c643ef7cb4	UP6H7672	Diskett	52-53	NULL
5b9cc2cb4d81	UP6H7536	Disponentgatan	77-07	-
39a5f2d56470	AP7P2036	Distaghil_Sar	01-64	NULL
a60552758c56	UP7Y4512	Dithyrambix	03-41	NULL
cbf1705315f4	TP6Y4443	Diti	65-16	Indian Gods and legendary heroes
736530d477f4	TP7P2471	Diving	09-12	NULL
53a863817388	UP6Y4376	Di_kang_Wang	48-57	Chinese gods and mythical heroes
484657db3e0f	SCUBE051	Fogo	2023-51	NULL
889a91405a69	UP8P3238	Djembe	25-31	NULL
ebe074e96c81	UP8H8526	Djupfrysa	80-03	NULL
f92559ca15ce	UP4H0043	Djursholm	-	-
8c40d705fc4b	DMICE001	DMICE1	2079-01
37793e5448e1	DMICE002	DMICE2	2079-02
99b591c21d6e	DMICE003	DMICE3	2007-03
04f1d6939870	DMICE004	DMICE4	2007-04
308da957ba2a	TP6P1647	Dobbs	76-52	Character from Joseph Hellers catch-22
450d9e376ad3	TP6H7537	Docentbacken	52-16	-
b9adeae6e010	UP7P2538	Doctor_Doom	10-15	NULL
0447f7184052	TP7P2545	Doctor_Octopus	28-16	NULL
3fc8c87cd127	TP7P2533	Doctor_Strange	10-26	NULL
9b0112d4d5a1	TP7Y4869	Doctor_Who	06-46	NULL
0d3141e409cb	TP6P1621	Doc_Daneeka	63-18	Character from Joseph Hellers catch-22
8f96faaca054	UP5Y0074	Dodge_Viper	29-19	-
2d4bdab79c13	UL9H6064	Doftmusseron	84-25	NULL
a56bb3a8823e	UP4P0300	Dog	74-31	-
d7bf54b7a445	TP7Y4533	Dogmatix	44-10	NULL
8f02e80846e2	TL9P6695	Dogwood_Tree	82-54	NULL
4ad5e6d6ce00	UP6P1672	Dog_Day_Afternoon	53-19	Bank Robbery gone bad
4abca28ac534	TP7H8267	Doja	24-18	NULL
3d25974e013e	UP6H7538	Doktor_Abelins_gata	68-27	-
260a1cb19c72	UP8Y5150	Dolgensee	51-33	NULL
63f23e2dc418	TP7P2589	Dollbohrer	05-30	NULL
4424ac8d389a	UP4P0302	Dolphin	21-27	-
df9a3d818c99	UP7P2226	Dol_Guldur	45-19	NULL
c5e37313b38c	TP7H8195	Domare	42-44	NULL
812678dde98d	DFLRef05	DomDOM	-	-
4959df8ace2a	TP5H0189	Domherre	65-32	-
2fea6615072e	TP8P3621	Dominos	22-48	NULL
d10fb14e5985	TP7P2181	Donald_Duck	44-08	NULL
05249cd96e66	UP6P1764	Donald_Wray	45-49	French Polynesia national airline
8241904bf0f9	UP7H8070	Donar	20-09	NULL
0d26d1a61410	UP4P0304	Donkey	74-35	-
baa8e15fa2f0	UP6P1544	Donkey_Kong	71-37	a big hairy ape that throws barrels at Mario
e54a784f98cd	UP7P2334	Donnie_Baseball	06-17	NULL
f7049dc485bf	TL9P6723	Don_Brown	82-18	NULL
b5c514790182	UP8P3290	Don_River	19-45	NULL
ba0b79399a54	UP6P1578	DOOM	76-19	an early first person shooter for the PC
78af15a33c5b	AP6P1103	Door_Stop	56-61	Objects or devices used to hold a door open or closed, or to prevent said door from opening too widely.
025abf96251c	TP4P0201	Dopamine	SP-02	-
9792e6e3b123	UP5H0176	Dopping	56-59	-
b07d1712950e	UP8P3328	Doral	02-17	NULL
21023f61af76	UP5P0602	Doraphobia	75-09	-
6109526d572e	UP7P2254	Doriath	44-21	NULL
799ee7c0cb81	UP6P1514	Doroboh_Neko	58-21	Thief cat
cd3d9312989a	UP7Y4668	Dorofey	12-51	NULL
6fae50a6cd0c	UP7Y4602	Dorogobuzh	77-13	NULL
4fa9bd161dfc	UP7P2598	Dorot	80-45	NULL
97b37a2ccd76	UP7Y4734	Doroud	03-47	NULL
1ddd6329fc1d	UP5P0914	Dosetsu_Inuyama	39-57	-
4c2fb6534689	TP7Y4927	Doublestar	34-30	NULL
a826ef28b6ea	UP6P1590	Double_Dragon	SP-03	NULL
01b940f4eff3	UP6P1356	Double_Helix	63-47	Gaseous nebula near the center of our galaxy, which is thought to have been distorted by magnetic torsion into the shape of two connected spirals, akin to the shape of DNA.
064e5d898e90	UP7P2326	Double_X	17-21	NULL
5fa9ebf82828	AP7P2096	Douglas_Mawson	10-62	NULL
e036bfeee59e	TP6Y4461	Dou_Mu	66-34	Chinese gods and mythical heroes
702a4deb37d9	AP5P0456	Dover	23-62	-
5318524a79f4	TP6H7701	Dovhjort	01-46	NULL
69a843a5e181	UP5P0688	Doxophobia	38-17	-
04da1c75b9fb	UP6P1236	Dracula	46-35	Dracula (1897) is a novel by Irish author Bram Stoker, and the name of the worlds most famous vampire character
18dfde04f711	TP7H8011	Dragg	28-02	NULL
49033e70c205	TP6H7673	Dragmagnet	52-10	NULL
5b5cd7a4fb85	UP5P0576	Dragon	50-15	-
faeea0cb9ac0	TP8P3653	Dragonology	31-16	NULL
4d7af237c3f5	TP6P1255	Dragonsmouth	56-34	A Flower
724f42ef6987	TP6P1365	Dragon_Nebula	58-40	It is cool.
86687e10a33c	TP7P2601	Drais	03-30	NULL
7c68157649c7	UP7H8130	Draken	42-19	NULL
f3d443d1eacd	TP6H7539	Drakenbergsgatan	68-16	-
35498bccdf32	UP6Y4290	Draupadi	66-17	Indian Gods and legendary heroes
8c722131fdb2	UP6P1368	Draw_Poker	78-53	A card Game
4e5199ba5216	TP6P1683	Dreedles_Girl	69-20	Character from Joseph Hellers catch-22
3024468b1d21	XK4Y0002	Dresden	-	-
e57d90005cb2	TP8Y5165	Drewensee	51-38	NULL
6489d0ab4784	TP9P3835	Drift	79-32	NULL
5d051f90ffa8	TP7H8229	Drifttekniker	25-34	NULL
cd2cd91884d2	TP8P3161	Drill_Bit	41-12	NULL
d8a4490aba10	UP8P3556	Drill_Camp	31-21	NULL
4856da33d102	TP8P3177	Drill_Chuck	05-06	NULL
1d5b6c527d36	TP8P3123	Drill_Press	41-60	NULL
8512ff836081	UP6H7674	Drivdorn	68-53	NULL
e579b930e470	UP5P0558	Dromophobia	19-59	-
173ce0197646	UP9P3838	Dromornis	32-57	NULL
a1e8c82eab1c	UP7Y4820	Dromus_Dromas	10-25	NULL
b2437731ff61	TP8P3171	Drop_Forge	17-36	NULL
3e76119a6149	TP6H7675	Drossel	68-22	NULL
251ade2f65bb	TP4H0047	Drottningholm	52-48	-
9fd06abf3e32	UP6P1766	Druk_Air	74-41	Bhutan national airline
ba6567a4bf73	TL9H6013	Druvskinn	82-50	NULL
892c7b7fff87	UL8P6548	Dry_Tortugas	83-49	NULL
b2c4c46cc80a	TP9P3703	Dr_Bunsen_Honeydew	22-52	NULL
929ac56c78a0	TP6P1287	Dr_Caligari	58-48	The film tells the story of the deranged Doctor Caligari and his faithful somnambulist Cesare and their connection to a string of murders in a German mountain village, Holstenwall.
7b00f53b4cac	TP6P1311	Dr_Jekyll	-	See Mr Hyde
7f13b45ae306	UP7P2342	Dr_K	26-01	NULL
b1d194277c79	TP6P1561	Dr_Mario	-	a game where you must match up pills to make them disappear; similar to Tetris
dd6aa14bddae	UP6P1684	Dr_No	69-53	First bond film
c101b1a17d91	TP7Y4841	Dr_Oxs_Experiment	33-48	NULL
a33fde4a917b	TP6P1313	Dr_Satan	58-54	From House of 1000 Corpses, created by Rob Zombie
9684326e9778	TP6P1735	Dr_Strangelove	69-22	Classic Political satire
73142d46f13e	TP9P3713	Dr_Strangepork	22-08	NULL
684becf71b17	UP6P1628	Dr_Stubbs	63-35	Character from Joseph Hellers catch-22
b4653394162b	TP6P1729	Dr_Zhivago	69-60	Classic romance novel adapted to film
42e961683903	TP6Y4325	Duat	47-50	Gods of Ancient Egypt
abcfd5e5a352	UP4P0170	Dubbel	21-05	-
9555de1ed07e	UL9P6644	Duck_Billed_Turtle	86-41	NULL
6f2a6d70f69e	TP6P1587	Duck_Hunt	63-26	the most popular NES game using the gun attachment; dont let the dog taunt you
2a9155f0ad91	TP7Y4801	Ducula_Galeata	18-20	NULL
1a8eeef5d86c	TP8P3483	Duffel_Bag	33-60	NULL
413bf417eaff	UP8P3132	Dugong	16-37	NULL
1e2184c1bef1	UL9H6142	Dukat	85-45	NULL
8da7717ddf58	TP6P1337	Dumbbellish	75-12	At a distance of about 1250 light years, it was the first planetary nebula to be discovered and is easily visible in binoculars.
745c22423a1f	TP7P2183	Dumbo	26-42	NULL
f9df912f6666	AP7P2080	Dumont_dUrville	18-64	NULL
4e62947b0e83	TP6P1649	Dunbar	76-14	Character from Joseph Hellers catch-22
0591abfba0b3	TP8P3663	Dungeons_And_Dragons	31-18	NULL
a276b86e8cd4	TP6Y4365	Dung_Wang_Kung	73-48	Chinese gods and mythical heroes
ac245af1bd74	SCUBE022	Formentera	2023-22	NULL
7c063b9bee63	UP6P1374	Durak_Card	72-03	A card Game
5da4ddb2f58c	UP6Y4442	Durga	73-49	Indian Gods and legendary heroes
60c8afa7a645	UP7H8012	Durk	20-11	NULL
09e00309fe82	UP8P3150	Dusky_Dolphin	31-51	NULL
134a3b5ee859	TP5H0175	Duva	64-36	-
63e4c78bf229	TP7H8167	Duvan	42-04	NULL
c349a697ac35	TP7P2623	Dvir	32-44	NULL
b288920b67d2	UP5P0568	Dwarf	54-03	-
60ac1b702539	UL9H6164	Dykare	82-15	NULL
244f40b9ce6d	TP7H8013	Dykdalb	42-58	NULL
f2917d235e6f	TL9H6129	Dynamiten	85-42	NULL
12d75ea83387	TL9H6055	Dynstinksvamp	81-60	NULL
9a34f65c7b79	UL9H6060	Dystersopp	81-11	NULL
d340ebe9d24c	UP7H8014	Dyvika	03-57	NULL
1a696d89bdfe	TP6P1335	Eagle	73-26	One of the most famous space objects, and most popular poster images of outer space, often appears in science-fiction movies.
076eb942057b	UP5Y0076	Eagle_SS_Register	36-15	-
2e9df9180b0a	AP7P2008	Ear	13-61	NULL
3f0c7f61d176	TP7P2247	Earendil	62-54	NULL
3f0cac2ea980	UV4P0038	Earth	-	-
c69c3a24460f	UP7Y4872	Earthlight	35-23	NULL
8b13cb959e23	TP8P3491	Ear_Muffs	07-44	NULL
4098488fe3aa	TP6P1719	Easy_Rider	75-44	Road trip movie with motorcycles
755fc7596d46	UP4P0108	Ebi	21-59	-
2e136b8ace68	TP5P0979	Ebola	78-02	-
1e40b6a84e97	UP5P0756	Ecclesiology	49-49	-
a4bdff4f7bd0	UP5P0664	Ecclesiophobia	29-15	-
a9e59260f97d	TP8P3445	Eco	19-10	NULL
467855cedc15	UP5P0818	Ecology	41-37	-
35daf4dd3653	UP5Y0078	EDAG_Scoutish	67-29	NULL
b82d400b9173	UP7P2132	Edam	55-31	NULL
b17d60b9b610	AP7P2097	Edmund_Hillary	05-64	NULL
5ecfdc496107	UP5Y0080	Edsel_Pacer	27-21	-
00b9dbda4cff	UP7P2182	Eeyore	44-53	NULL
e01c838123f6	TP6P1877	Efate	55-20	NULL
7f707bb1b21c	UP6H7676	Effektregulator	68-19	NULL
cd5d58344001	TP8H8527	Eftersteka	01-04	NULL
e5c34e1fca8f	UP6P1330	Egg_Nebula	1C-11	NULL
fee1e48fda57	TP7Y4667	Eghlid	18-58	NULL
49587b6a3026	TP5Y0071	Eichwalde	58-06	-
ed02ce817a2e	TP6Y4479	Eiebt	56-08	Gods of Ancient Egypt
78647ecb9b50	TP6P1449	Eiffel	70-14	object oriented language named for Gustave Eiffel
39d76c21f789	TP6P1349	Eight_burst	73-54	Formed from two stars close together, the fainter one of these that is considered the central star.
8b27ce74c6c9	UP7P2596	Eilon	31-09	NULL
673aeb7ced62	TP7P2619	Eilot	32-34	NULL
ca88120767c0	UP7P2614	Einat	31-55	NULL
a59150f6c258	TP7P2591	Eintracht_Mombach	03-06	NULL
71fd63a52b5b	UP7P2590	Ein_Dor	31-49	NULL
f9141efcdfe4	TP7P2621	Ein_Gedi	32-42	NULL
c168da56b6f5	TP7H8093	Eir	20-28	NULL
9976981b5ee3	TP7P2605	Eiskalde_Brueder	03-18	NULL
7e3701142a43	TP5H0101	Ejder	01-28	-
a9524d008d36	UL9H6070	Ek	81-47	NULL
c13ace170b26	UP6H7540	Ekedalsgatan	77-33	-
994a6787bc2f	UL9H6104	Ekorrkorn	86-05	NULL
d0b34d1a0d0e	TL9H6165	Ekoxe	85-20	NULL
4f5c0991b4fd	TP5H0241	Ekskogen	50-56	-
bfdaca429197	TL9P6689	Elderberry_Tree	82-42	NULL
b24a966c9187	UP5P0712	Electrophobia	38-27	-
eaf23330318c	UP7P2508	Elektra	03-17	NULL
2e0a617a7d84	TP6H7677	Elementnyckel	68-46	NULL
0f1ac8f0cacc	UP4P0306	Elephant	73-35	-
1eb997390c7d	UP5P1062	Elephantiasis	56-19	-
4ad659054904	UP6P1352	Elephants_Trunk	2021-03	NULL
0b02b5dd41da	TP9P3895	Elephant_Bird	80-52	NULL
81597447a683	UP8P3146	Elephant_Seal	16-23	NULL
8d2fdbf0bb48	UP7Y4578	Eleutetes	69-29	NULL
ed51aeab5658	UP7Y4506	Elevedelix	20-51	NULL
8261714f65d8	UP5P0518	Elf	67-03	-
6b2910ec59bc	UP5Y0082	Elfin_Clubman	29-41	-
7b909b9dcd76	TP4P0139	Eliche	49-60	-
2aa3aba6e7e2	TP7Y4733	Elimia_Ampla	16-34	NULL
748b7fbe2dfb	UP7Y4576	Elisyques	54-27	NULL
48af0f004df6	SPTSyn01	ElkDOM	-	-
913532d97dd5	UP7H8118	Elle	10-39	NULL
178fb493ef75	TP6P1309	Elm_Street	56-24	If Nancy Doesnt Wake Up Screaming She Wont Wake Up At All!
0e27c5127891	UL9P6680	Elm_Tree	82-01	NULL
12b9f942766b	TP6H7695	Elritsa	80-16	NULL
26c3d365429f	TP7P2253	Elrond	19-24	NULL
21b536e0e1a2	UP6H7678	Eltejp	17-57	NULL
f388810e986c	TP7P2775	Elul	11-16	NULL
a281a47f7868	TP7P2245	Elwing	44-40	NULL
74d56c7ef38b	TP7P2809	Ely_Cathedral	11-48	NULL
ab5ad9e87372	TP7P2395	El_Cabello	17-24	NULL
8763dc30c93b	AP7P2067	El_Capitan	04-61	NULL
